Time,A160,A180,A220,A240,L130,L150,L250,L270
2023-01-01 00:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 01:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 02:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 03:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 04:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 05:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 06:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 07:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 08:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 09:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 10:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 11:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 12:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 13:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 14:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 15:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 16:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 17:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 18:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 19:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 20:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 21:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 22:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-01 23:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 00:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 01:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 02:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 03:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 04:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 05:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 06:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 07:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 08:30:00,23.241043090820312,23.704814910888672,0.0,23.096561431884766,10.831069946289062,-40.67058563232422,-19.17400360107422,-21.02813720703125
2023-01-02 09:30:00,23.243427276611328,23.707294464111328,0.0,23.099040985107422,10.828399658203125,-40.67249298095703,-19.175338745117188,-21.030426025390625
2023-01-02 10:30:00,23.243427276611328,23.707294464111328,0.0,23.099040985107422,10.828399658203125,-40.67249298095703,-19.175338745117188,-21.030426025390625
2023-01-02 11:30:00,23.243427276611328,23.707294464111328,0.0,23.099040985107422,10.828399658203125,-40.67249298095703,-19.175338745117188,-21.030426025390625
