Time,A160,A180,A220,A240,L130,L150,L250,L270
2023-01-01 00:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 01:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 02:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 03:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 04:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 05:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 06:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 07:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 08:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 09:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 10:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 11:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 12:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 13:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 14:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 15:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 16:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 17:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 18:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 19:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 20:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 21:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 22:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-01 23:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 00:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 01:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 02:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 03:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 04:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 05:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 06:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 07:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 08:30:00,71.10494995117188,72.52330780029297,0.0,70.66351318359375,-111.06410217285156,-95.54185485839844,-53.922508239746094,46.23689651489258
2023-01-02 09:30:00,71.10456085205078,72.52285766601562,0.0,70.6630859375,-111.06367492675781,-95.54161834716797,-53.922176361083984,46.237037658691406
2023-01-02 10:30:00,71.10456085205078,72.52285766601562,0.0,70.6630859375,-111.06367492675781,-95.54161834716797,-53.922176361083984,46.237037658691406
2023-01-02 11:30:00,71.10456085205078,72.52285766601562,0.0,70.6630859375,-111.06367492675781,-95.54161834716797,-53.922176361083984,46.237037658691406
